OrganisationLabel,LocationText,Category,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,ChargeAmount,OpeningHours
Bournemouth,Boscombe Bus Station,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Hengistbury Head,Unisex,No,No,No,No,No,0,08:30-sunset
Bournemouth,East Overcliff,Unisex,Yes,No,No,No,No,0,07:00-17:30
Bournemouth,Firbank Road,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Fishermans Walk,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Fishermans Overcliff,Unisex,Yes,No,No,No,No,0,07:00-17:30
Bournemouth,Glen Fern Road,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Leslie Road,Unisex,No,No,No,No,No,0,07:00-18:00
Bournemouth,Lower Gardens,Unisex,Yes,No,Yes,No,No,0,07:00-17:30
Bournemouth,Boscombe Overcliff Gardens,Unisex,No,No,No,No,No,0,Apr-Sep: 07:00-17:30
Bournemouth,Old Mulberry Close,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Milburn Road,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Millhams Road,Unisex,No,No,No,No,No,0,07:00-18:00
Bournemouth,Richmond Hill,Unisex,No,No,No,No,No,0,07:00-18:00
Bournemouth,Seabourne Road,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Westover Road,Unisex,Yes,No,No,No,No,0,07:00-17:30
Bournemouth,Bournemouth Travel Interchange,Unisex,No,No,No,No,No,0,07:00-18:00
Bournemouth,Wick Lane Car Park,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Southbourne Crossroads,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,West Overcliff,Unisex,No,No,No,No,No,0,07:00-17:30
Bournemouth,Alum Chine,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Bedford Beach,Unisex,No,No,No,No,No,0,08:30-sunset
Bournemouth,Boscombe East,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Bournemouth East,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Bournemouth Pier entrance building,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Bournemouth West,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Durley Chine,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,East Undercliff,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Fishermans Foreshore,Unisex,No,No,No,No,No,0,08:30-sunset
Bournemouth,Gordon's Zig Zag,Unisex,Yes,No,No,No,No,0,Apr-Sep: 08:30-sunset; Oct-Mar: Sa-Su 08:30-sunset; PH: 08:30-sunset
Bournemouth,Honeycombe Chine,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Manor Steps,Unisex,Yes,No,No,No,No,0,08:30-sunset
Bournemouth,Portman Ravine,Unisex,Yes,No,No,No,No,0,Apr-Sep: 08:30-sunset; Oct-Mar: Sa-Su 08:30-sunset; PH: 08:30-sunset
Bournemouth,Warren Edge,Unisex,Yes,No,No,No,No,0,Apr-Sep: 08:30-sunset; Oct-Mar: Sa-Su 08:30-sunset; PH: 08:30-sunset
Bournemouth,Coasters,Unisex,Yes,No,No,No,No,0,Apr-Sep: 08:30-sunset; Oct-Mar: Sa-Su 08:30-sunset; PH: 08:30-sunset
